Metric,Value
path_length,59.4974746830583
planning_time,0
planning_success,1
trajectory_length,56.2083104203094
mean_tracking_error,0.44166137218041
max_tracking_error,1.16217673383829
rms_tracking_error,0.498123338123859
final_tracking_error,0.400569166929211
mean_curvature,0.28187840029421
max_curvature,0.976458142622955
mean_jerk,0.764506840330035
max_jerk,20.0000000000009
mean_velocity_change,0.204746091441217
max_velocity_change,2.99993820005161
mean_omega_change,1.15461851115001
max_omega_change,18.4629180453618
total_velocity_effort,57.7331524438209
total_omega_effort,8.25423750205018
cbf_activation_count,92
cbf_activation_rate,33.4545454545455
cbf_duration,9.2
min_obstacle_distance,0.219847340255076
mean_obstacle_distance,6.2652219582429
safety_violations,0
safety_maintained,1
simulation_duration,27.4
num_steps,275
mean_step_time,0.1
execution_success,1
overall_success,1
path_efficiency,0.965307556834851
avg_velocity,2.05139819052224
