Metric,Value
path_length,59.4974746830583
planning_time,0
planning_success,1
trajectory_length,56.1508894798821
mean_tracking_error,0.449764843945446
max_tracking_error,1.22754978020663
rms_tracking_error,0.507002736095435
final_tracking_error,0.472599945344808
mean_curvature,0.283965413791655
max_curvature,0.941044081583383
mean_jerk,0.824492701825764
max_jerk,20.0000000000009
mean_velocity_change,0.202509254576691
max_velocity_change,2.53288864562121
mean_omega_change,1.15214853870525
max_omega_change,18.4714941144062
total_velocity_effort,57.6680086851825
total_omega_effort,8.21943301421016
cbf_activation_count,89
cbf_activation_rate,32.7205882352941
cbf_duration,8.9
min_obstacle_distance,0.274147421843515
mean_obstacle_distance,6.30538309336918
safety_violations,0
safety_maintained,1
simulation_duration,27.1
num_steps,272
mean_step_time,0.1
execution_success,1
overall_success,1
path_efficiency,0.963399399840236
avg_velocity,2.07198854169307
