Metric,Value
path_length,57.7604795431111
planning_time,0
planning_success,1
trajectory_length,57.1406969484433
mean_tracking_error,0.50043294137597
max_tracking_error,1.00136816065284
rms_tracking_error,0.576693790371101
final_tracking_error,0.749057446956087
mean_curvature,0.243441032193875
max_curvature,0.919893112208175
mean_jerk,0.435512568449836
max_jerk,19.9999999999994
mean_velocity_change,0.0438462045962177
max_velocity_change,1.99999999999997
mean_omega_change,1.0815289452863
max_omega_change,6.75885562043807
total_velocity_effort,58.6206969484434
total_omega_effort,6.46996309767925
cbf_activation_count,33
cbf_activation_rate,12.84046692607
cbf_duration,3.3
min_obstacle_distance,1.1906716139607
mean_obstacle_distance,6.79965522974208
safety_violations,0
safety_maintained,1
simulation_duration,25.6
num_steps,257
mean_step_time,0.1
execution_success,1
overall_success,1
path_efficiency,0.947503040888366
avg_velocity,2.23205847454857
