Metric,Value
path_length,57.7604795431111
planning_time,0
planning_success,1
trajectory_length,57.16
mean_tracking_error,0.497536636383228
max_tracking_error,0.996320594625556
rms_tracking_error,0.574683700369429
final_tracking_error,0.763362050373464
mean_curvature,0.241379014180934
max_curvature,0.92000000000002
mean_jerk,0.237154150197633
max_jerk,20.0000000000009
mean_velocity_change,0.00787401574803139
max_velocity_change,1.99999999999997
mean_omega_change,1.03151140685882
max_omega_change,6.08112571745068
total_velocity_effort,58.6400000000001
total_omega_effort,6.41454487504979
cbf_activation_count,0
cbf_activation_rate,0
cbf_duration,0
min_obstacle_distance,0
mean_obstacle_distance,0
safety_violations,0
safety_maintained,1
simulation_duration,25.4
num_steps,255
mean_step_time,0.1
execution_success,1
overall_success,1
path_efficiency,0.946990183375284
avg_velocity,2.2503937007874
