Metric,Value
path_length,57.7604795431111
planning_time,0
planning_success,1
trajectory_length,53.6987833093407
mean_tracking_error,1.06499090781425
max_tracking_error,2.21969832445558
rms_tracking_error,1.19940296456646
final_tracking_error,0.147035167690974
mean_curvature,0.132361132227534
max_curvature,1.04
mean_jerk,3.50000000000002
max_jerk,34.9999999999999
mean_velocity_change,0.818181818181817
max_velocity_change,18.9627199967397
mean_omega_change,1.1960871539786
max_omega_change,6.85933294432847
total_velocity_effort,54.6234105093081
total_omega_effort,1.81098615527898
cbf_activation_count,0
cbf_activation_rate,0
cbf_duration,0
min_obstacle_distance,0
mean_obstacle_distance,0
safety_violations,0
safety_maintained,1
simulation_duration,12.1
num_steps,122
mean_step_time,0.1
execution_success,1
overall_success,1
path_efficiency,0.987969111561092
avg_velocity,4.43791597597857
