Metric,Value
path_length,57.7604795431111
planning_time,0
planning_success,1
trajectory_length,57.0348998336692
mean_tracking_error,0.967832206140877
max_tracking_error,1.96957856171034
rms_tracking_error,1.09348464425773
final_tracking_error,0.834672539509878
mean_curvature,0.24854578475717
max_curvature,0.437411130747609
mean_jerk,37.8312397991515
max_jerk,40.0000000000031
mean_velocity_change,13.7053401206991
max_velocity_change,50.0000000000028
mean_omega_change,5.5803814348139
max_omega_change,31.415926535898
total_velocity_effort,81.4274451193318
total_omega_effort,27.8819093519728
cbf_activation_count,96
cbf_activation_rate,14.5234493192133
cbf_duration,9.6
min_obstacle_distance,1.20207461317355
mean_obstacle_distance,6.31642883957706
safety_violations,0
safety_maintained,1
simulation_duration,66
num_steps,661
mean_step_time,0.1
execution_success,1
overall_success,1
path_efficiency,0.947805931907662
avg_velocity,0.864165148994989
