Time,X,Y,Theta,Velocity,Control_V,Control_Omega
0,5,5,0,0,2.3,0.92
0.1,5,5,0,0.2,2.3,0.92
0.2,5.02,5,0.008,0.4,2.3,0.92
0.3,5.05999872000683,5.00031999658668,0.024,0.6,2.3,0.92
0.4,5.11998144083625,5.00175985835066,0.048,0.8,2.3,0.92
0.5,5.19988929852961,5.00559838396052,0.08,1,2.3,0.92
0.6,5.29956946915987,5.01358985335744,0.12,1.2,2.3,0.92
0.7,5.41870650546234,5.02795531823211,0.168,1.4,2.3,0.92
0.8,5.55673546789219,5.05136483617968,0.224,1.6,2.3,0.92
0.9,5.71273814405169,5.08690586924112,0.288,1.8,2.3,0.92
1,5.88532463940871,5.13803219925202,0.36,2,2.3,0.92
1.1,6.07250400414429,5.20848704590704,0.44,2.2,2.3,0.92
1.2,6.27154937005269,5.30219372822155,0.528,2.3,2.3,0.92
1.3,6.47022714456188,5.41806927316557,0.62,2.3,2.3,0.916094183023178
1.4,6.65741918959427,5.55170736008915,0.711609418302318,2.3,2.3,0.66857190605519
1.5,6.83160090844213,5.70190965307832,0.778466608907837,2.3,2.3,0.61115429727137
1.6,6.99535886240933,5.86341300447536,0.839582038634974,2.3,2.3,0.565102441734005
1.7,7.14894688231434,6.03461674316601,0.896092282808374,2.3,2.3,0.451794941753634
1.8,7.2926201162371,6.21422187074921,0.941271776983737,2.3,2.3,0.354444665537935
1.9,7.42803503458047,6.40013260171991,0.976716243537531,2.3,2.3,0.248813852498747
2,7.55677677322811,6.59072526876138,1.00159762878741,2.3,2.3,0.138587502887399
2.1,7.68073694271358,6.78446188476655,1.01545637907615,2.3,2.3,0.0463149525572278
2.2,7.80200034675067,6.97989777410455,1.02008787433187,2.3,2.3,0.107411421087728
2.3,7.9223572930365,7.17589319619586,1.03082901644064,2.3,2.3,0.0933474838545213
2.4,8.04060212226916,7.37317005839652,1.04016376482609,2.3,2.3,0.106227925072921
2.5,8.15700029663156,7.57154209524925,1.05078655733339,2.3,2.3,0.175163744948785
2.6,8.27128467829917,7.77113939008777,1.06830293182826,2.3,2.3,0.169456070427112
2.7,8.38205548567493,7.97270781081215,1.08524853887098,2.3,2.3,0.099389324422463
2.8,8.48939485353288,8.17612428042033,1.09518747131322,2.3,2.3,0.0997116192445253
2.9,8.59470721055164,8.38059752429139,1.10515863323767,2.3,2.3,0.0700257033652039
3,8.69797553028306,8.58611067262951,1.11216120357419,2.3,2.3,-0.0121759436929671
3.1,8.79980220957772,8.79234191998021,1.1109436092049,2.3,2.3,-0.407311690921666
3.2,8.90187991933502,8.99844903089757,1.07021244011273,2.3,2.3,-0.185343791028356
3.3,9.01226562842802,9.20022860178629,1.0516780610099,2.3,2.3,-0.192532357057518
3.4,9.12637202298162,9.39992770223989,1.03242482530414,2.3,2.3,-0.272905516422038
3.5,9.24430188562117,9.59739300931386,1.00513427366194,2.3,2.3,-0.259072049682959
3.6,9.36757610368777,9.79156681588949,0.979227068693644,2.3,2.3,-0.181361093476621
3.7,9.49583889216585,9.98248212981644,0.961090959345982,2.3,2.3,-0.042663073779734
3.8,9.62754285842396,10.1710399863801,0.956824651968009,2.3,2.3,0.090457997789082
3.9,9.76005006942131,10.3590342390415,0.965870451746917,2.3,2.3,0.0789476731016552
4,9.89085132397793,10.5482194176534,0.973765219057082,2.3,2.3,0.0634854739342014
4.1,10.0201549448592,10.738431335332,0.980113766450502,2.3,2.3,0.0163577490553059
4.2,10.1482483987567,10.9294603045189,0.981749541356033,2.3,2.3,0.0412693579244337
4.3,10.2760292010259,11.1206985500961,0.985876477148476,2.3,2.3,0.144749111379168
4.4,10.4030196894206,11.3124625087986,1.00035138828639,2.3,2.3,0.10253229274648
4.5,10.5272212049988,11.5060444902124,1.01060461756104,2.3,2.3,0.0626747442371009
4.6,10.6494313863998,11.7008897405059,1.01687209198475,2.3,2.3,0.0943099266789939
4.7,10.7704179878973,11.8964971081025,1.02630308465265,2.3,2.3,0.0991801244106138
4.8,10.8895544646385,12.0932367835869,1.03622109709371,2.3,2.3,0.039532527768523
4.9,11.0067338473213,12.2911483604946,1.04017434987056,2.3,2.3,0.0370654698969504
5,11.1231299219003,12.4895216294161,1.04388089686026,2.3,2.3,-0.0119258944391987
5.1,11.2387899187679,12.6883249621964,1.04268830741634,2.3,2.3,0.043418656769546
5.2,11.3546869240856,12.8869902187422,1.04703017309329,2.3,2.3,0.0707481092098722
5.3,11.4697202618232,13.0861568103407,1.05410498401428,2.3,2.3,0.62297028218545
5.4,11.5833416664711,13.2861322498472,1.11640201223283,2.3,2.3,0.417054770564912
5.5,11.6842928454803,13.492793468891,1.15810748928932,2.3,2.3,0.224760451669939
5.6,11.7765398362558,13.7034839828987,1.18058353445631,2.3,2.3,0.218235237679708
5.7,11.8640284368733,13.916194454578,1.20240705822428,2.3,2.3,0.154244255338515
5.8,11.9468544808218,14.1307634328666,1.21783148375813,2.3,2.3,0.0426707730506855
5.9,12.0263612002772,14.3465843807874,1.2220985610632,2.3,2.3,-0.0671965845971935
6,12.1049462740325,14.5627426241715,1.21537890260348,2.3,2.3,-0.0889567429097801
6.1,12.1849820722244,14.7783679265082,1.2064832283125,2.3,2.3,-0.120445173393752
6.2,12.2669328108606,14.993272734358,1.19443871097313,2.3,2.3,-0.0941200808307365
6.3,12.3514659673565,15.2071749210061,1.18502670289006,2.3,2.3,-0.120188535987139
6.4,12.4380085990429,15.4202720183603,1.17300784929134,2.3,2.3,-0.128679443295467
6.5,12.5271061012942,15.6323136064807,1.1601399049618,2.3,2.3,-0.137891843461637
6.6,12.6189246911389,15.8431911694382,1.14635072061563,2.3,2.3,-0.218515349657773
6.7,12.7136422892961,16.0527826210753,1.12449918564985,2.3,2.3,-0.153406963524336
6.8,12.8129168054872,16.2602544756364,1.10915848929742,2.3,2.3,-0.0899216234661839
6.9,12.9153622783128,16.4661790373029,1.1001663269508,2.3,2.3,-0.132147010912451
7,13.0196552914831,16.6711740796914,1.08695162585956,2.3,2.3,-0.199163853438096
7.1,13.1266480678967,16.8747730624867,1.06703524051575,2.3,2.3,-0.282034608581272
7.2,13.2376743127332,17.0762008980942,1.03883177965762,2.3,2.3,-0.124383530930616
7.3,13.3543366123725,17.2744177183766,1.02639342656456,2.3,2.3,-0.217476092963788
7.4,13.4734553147891,17.4711681560752,1.00464581726818,2.3,2.3,-0.191311789591309
7.5,13.5968243635833,17.6652817254093,0.985514638309049,2.3,2.3,-0.135524106629106
7.6,13.7238842313115,17.8569997214683,0.971962227646138,2.3,2.3,-0.0024189810507487
7.7,13.8535305922922,18.0469781967871,0.971720329541063,2.3,2.3,-0.0513213845737957
7.8,13.9832229049125,18.2369253053389,0.966588191083684,2.3,2.3,-0.059416662886833
7.9,14.1138883401451,18.4262043164191,0.960646524795,2.3,2.3,0.0107358711354366
