Metric,Value
path_length,59.2185396066894
planning_time,0
planning_success,1
trajectory_length,22.2920849164613
mean_tracking_error,1.63892924493657
max_tracking_error,2.31970272722055
rms_tracking_error,1.65079182776367
final_tracking_error,1.66922077783184
mean_curvature,0.0288997878457894
max_curvature,1.17144364266445
mean_jerk,0.189284188889334
max_jerk,21.4356065189422
mean_velocity_change,0.10836306255608
max_velocity_change,3.88157649462832
mean_omega_change,0.333163182905857
max_omega_change,20.3586064181235
total_velocity_effort,22.6198058944858
total_omega_effort,3.06083695536608
cbf_activation_count,956
cbf_activation_rate,95.6
cbf_duration,95.6
min_obstacle_distance,-0.271515744143905
mean_obstacle_distance,0.420289539700516
safety_violations,936
safety_maintained,0
simulation_duration,99.9
num_steps,1000
mean_step_time,0.1
execution_success,1
overall_success,1
path_efficiency,0.987693708723776
avg_velocity,0.223143993157771
