Metric,Value
path_length,59.4974746830583
planning_time,0
planning_success,1
trajectory_length,56.24
mean_tracking_error,0.450684956100465
max_tracking_error,1.16617435456046
rms_tracking_error,0.50841594413644
final_tracking_error,0.493406962325041
mean_curvature,0.310255290106477
max_curvature,0.92000000000002
mean_jerk,0.240963855421685
max_jerk,20.0000000000002
mean_velocity_change,0.00800000000000018
max_velocity_change,2.00000000000004
mean_omega_change,1.28821287248522
max_omega_change,20.2681990135667
total_velocity_effort,57.72
total_omega_effort,8.2823388408306
cbf_activation_count,0
cbf_activation_rate,0
cbf_duration,0
min_obstacle_distance,0
mean_obstacle_distance,0
safety_violations,0
safety_maintained,1
simulation_duration,25
num_steps,251
mean_step_time,0.1
execution_success,1
overall_success,1
path_efficiency,0.965241999857359
avg_velocity,2.2496
