Metric,Value
path_length,59.4974746830583
planning_time,0
planning_success,1
trajectory_length,53.7780472891665
mean_tracking_error,0.575022566592986
max_tracking_error,1.15761013989153
rms_tracking_error,0.62883271831831
final_tracking_error,0.757573357402615
mean_curvature,0.15401775487934
max_curvature,1.04
mean_jerk,4.51725986099759
max_jerk,35.0000000000003
mean_velocity_change,0.837229164600411
max_velocity_change,23.0547538736456
mean_omega_change,1.35573313933944
max_omega_change,9.37405198280568
total_velocity_effort,54.738594827903
total_omega_effort,2.04660123930632
cbf_activation_count,0
cbf_activation_rate,0
cbf_duration,0
min_obstacle_distance,0
mean_obstacle_distance,0
safety_violations,0
safety_maintained,1
simulation_duration,12.1
num_steps,122
mean_step_time,0.1
execution_success,1
overall_success,1
path_efficiency,0.987396819441987
avg_velocity,4.44446671811293
