Metric,Value
path_length,59.4974746830583
planning_time,0
planning_success,1
trajectory_length,57.2189355125165
mean_tracking_error,1.31172771935648
max_tracking_error,2.10625431705335
rms_tracking_error,1.4420793746228
final_tracking_error,0.656500800388173
mean_curvature,0.337511325101166
max_curvature,0.716561363193065
mean_jerk,33.1747127483238
max_jerk,40.0000000000031
mean_velocity_change,11.8155879615927
max_velocity_change,50.0000000000028
mean_omega_change,6.06729243724162
max_omega_change,31.4159265358997
total_velocity_effort,72.5292513658277
total_omega_effort,29.397580495836
cbf_activation_count,72
cbf_activation_rate,12.972972972973
cbf_duration,7.2
min_obstacle_distance,1.8254827913043
mean_obstacle_distance,7.24632202313011
safety_violations,0
safety_maintained,1
simulation_duration,55.4
num_steps,555
mean_step_time,0.1
execution_success,1
overall_success,1
path_efficiency,0.950852859308376
avg_velocity,1.03283277098405
