Metric,Value
path_length,57.7604795431111
planning_time,0
planning_success,1
trajectory_length,57.1329168623942
mean_tracking_error,0.500131748167515
max_tracking_error,0.998998267952399
rms_tracking_error,0.576136371566066
final_tracking_error,0.855307712812826
mean_curvature,0.256026649535819
max_curvature,0.919893026762363
mean_jerk,0.41788227951499
max_jerk,20.0000000000009
mean_velocity_change,0.0404575846678757
max_velocity_change,1.99999999999997
mean_omega_change,1.18047515608363
max_omega_change,6.97525495781732
total_velocity_effort,58.6129168623943
total_omega_effort,6.84401679030696
cbf_activation_count,31
cbf_activation_rate,12.0622568093385
cbf_duration,3.1
min_obstacle_distance,1.15419884053259
mean_obstacle_distance,6.77136420129494
safety_violations,0
safety_maintained,1
simulation_duration,25.6
num_steps,257
mean_step_time,0.1
execution_success,1
overall_success,1
path_efficiency,0.945791369710068
avg_velocity,2.23175456493727
