Metric,Value
path_length,57.7604795431111
planning_time,0
planning_success,1
trajectory_length,53.4499139900968
mean_tracking_error,1.04712655514689
max_tracking_error,2.21969832445558
rms_tracking_error,1.16662741554492
final_tracking_error,0.170440309371176
mean_curvature,0.135613004946366
max_curvature,1.11854516952947
mean_jerk,5.01478167567033
max_jerk,39.9999999999993
mean_velocity_change,1.80710141145643
max_velocity_change,45.0365922080229
mean_omega_change,1.32292512426059
max_omega_change,12.383864298638
total_velocity_effort,51.3057987510357
total_omega_effort,1.98068505376759
cbf_activation_count,22
cbf_activation_rate,16.793893129771
cbf_duration,2.2
min_obstacle_distance,-0.539795933828421
mean_obstacle_distance,6.5794751810291
safety_violations,12
safety_maintained,0
simulation_duration,13
num_steps,131
mean_step_time,0.1
execution_success,1
overall_success,1
path_efficiency,0.987291036763453
avg_velocity,4.11153184539206
