Metric,Value
path_length,58.8122060390401
planning_time,0
planning_success,1
trajectory_length,36.4230057378662
mean_tracking_error,1.51532174663474
max_tracking_error,2.49134597706785
rms_tracking_error,1.55069903078732
final_tracking_error,1.61152452322968
mean_curvature,0.0314614697992401
max_curvature,0.920000000000002
mean_jerk,0.0385039125104277
max_jerk,9.99999999999999
mean_velocity_change,0.0230230230405775
max_velocity_change,0.921345219619385
mean_omega_change,0.0949104950157732
max_omega_change,7.21113417333659
total_velocity_effort,37.4030057378662
total_omega_effort,3.58198021591453
cbf_activation_count,856
cbf_activation_rate,85.6
cbf_duration,85.6
min_obstacle_distance,-0.0977976991762612
mean_obstacle_distance,1.1770816581391
safety_violations,826
safety_maintained,0
simulation_duration,99.9
num_steps,1000
mean_step_time,0.1
execution_success,1
overall_success,1
path_efficiency,0.970966605110499
avg_velocity,0.364594652030693
