Metric,Value
path_length,57.8098494299464
planning_time,0
planning_success,1
trajectory_length,53.3313812663856
mean_tracking_error,1.93931546957295
max_tracking_error,4.10301518567561
rms_tracking_error,2.24428640306593
final_tracking_error,2.03726566620659
mean_curvature,0.114028915302616
max_curvature,1.12
mean_jerk,4.15319182129784
max_jerk,35.0000000000001
mean_velocity_change,0.810635443976012
max_velocity_change,23.9913972422379
mean_omega_change,0.761019724864645
max_omega_change,9.9428518430218
total_velocity_effort,54.291295238808
total_omega_effort,1.55141131161628
cbf_activation_count,0
cbf_activation_rate,0
cbf_duration,0
min_obstacle_distance,0
mean_obstacle_distance,0
safety_violations,0
safety_maintained,1
simulation_duration,12
num_steps,121
mean_step_time,0.1
execution_success,1
overall_success,1
path_efficiency,0.992727017482166
avg_velocity,4.4442817721988
