Metric,Value
path_length,59.240826532285
planning_time,0
planning_success,1
trajectory_length,23.2583775320965
mean_tracking_error,0.860169084249869
max_tracking_error,2.38240785660578
rms_tracking_error,0.92768490000721
final_tracking_error,0.847815085416299
mean_curvature,0.0743971320958892
max_curvature,0.616125425246928
mean_jerk,7.21907706087337
max_jerk,40.0000000000003
mean_velocity_change,3.98373514784982
max_velocity_change,50.0000000000002
mean_omega_change,1.76868980783437
max_omega_change,31.415926535898
total_velocity_effort,32.496427297156
total_omega_effort,14.6236339993757
cbf_activation_count,709
cbf_activation_rate,70.9
cbf_duration,70.9
min_obstacle_distance,0.300000600944698
mean_obstacle_distance,2.36730687003546
safety_violations,0
safety_maintained,1
simulation_duration,99.9
num_steps,1000
mean_step_time,0.1
execution_success,1
overall_success,1
path_efficiency,0.976767954520617
avg_velocity,0.232816591912878
