Time,X,Y,Theta,Velocity,Control_V,Control_Omega
0,5,5,0,0,0.3,-3.57893099966308e-07
0.1,5,5,0,0.2,0.5,0.2
0.2,5.02,5,0.008,0.4,0.7,0.28
0.3,5.05999872000683,5.00031999658668,0.024,0.6,0.9,0.36
0.4,5.11998144083625,5.00175985835066,0.048,0.8,1.1,0.44
0.5,5.19988929852961,5.00559838396052,0.08,1,1.3,0.52
0.6,5.29956946915987,5.01358985335744,0.12,1.2,1.5,0.6
0.7,5.41870650546234,5.02795531823211,0.168,1.4,1.7,0.68
0.8,5.55673546789219,5.05136483617968,0.224,1.6,1.9,0.76
0.9,5.71273814405169,5.08690586924112,0.288,1.8,2.1,0.84
1,5.88532463940871,5.13803219925202,0.36,2,2.3,0.92
1.1,6.07250400414429,5.20848704590704,0.44,2.2,2.5,1
1.2,6.27154937005269,5.30219372822155,0.528,2.4,2.7,1.08
1.3,6.47886530867098,5.42310734033705,0.624,2.6,2.9,1.16
1.4,6.68986773958275,5.575021704863,0.728,2.8,3.1,0.474066705567152
1.5,6.89888960168842,5.76132753183005,0.770818928244775,3,3.3,0.470382985094562
1.6,7.11409170492878,5.97034440856713,0.813581017798826,3.2,3.5,0.18508689650844
1.7,7.33389981125853,6.20290493056459,0.830503248336741,3.4,3.7,0.0727083206571488
1.8,7.56323127730204,6.45391703920148,0.837184553478209,3.6,3.9,0.0227390087814234
1.9,7.80427168230132,6.72131098669801,0.839283538904186,3.8,4.1,0.0013743563608848
2,8.05811022397972,7.00409357944125,0.839410918274219,4,4.3,0.221010773727462
2.1,8.32527077024355,7.30179349969655,0.859970060016309,4.2,4.5,0.0598651641217433
2.2,8.5993040364631,7.6200791717037,0.865557475334338,4.4,4.7,0.00912925653882035
2.3,8.8845189546184,7.95512014003693,0.866412129137972,4.6,4.9,-0.00686345382509059
2.4,9.18239871869571,8.30564495535426,0.865767804901331,4.8,5,-0.012198257309925
2.5,9.49346538359601,8.67120962813843,0.864596772199579,5,5,0.15618762480157
2.6,9.81793886245365,9.05162645415698,0.880215534679736,5,5,0.0307051813110243
2.7,10.1364313666751,9.43706454873863,0.883286052810838,5,5,0.00385407829933868
2.8,10.453738876713,9.82347876182296,0.883671460640772,5,5,-0.00240884051207941
2.9,10.7708974361249,10.2100152390043,0.883430576589564,5,5,0.134030347272583
