Time,X,Y,Theta,Velocity,Control_V,Control_Omega
0,5,5,0,0,0.3,1.53534354100556e-06
0.1,5,5,0,0.2,0.5,0.2
0.2,5.02,5,0.008,0.4,0.7,0.28
0.3,5.05999872000683,5.00031999658668,0.024,0.6,0.9,0.36
0.4,5.11998144083625,5.00175985835066,0.048,0.8,1.1,0.44
0.5,5.19988929852961,5.00559838396052,0.08,1,1.3,0.52
0.6,5.29956946915987,5.01358985335744,0.12,1.2,1.5,0.6
0.7,5.41870650546234,5.02795531823211,0.168,1.4,1.7,0.68
0.8,5.55673546789219,5.05136483617968,0.224,1.6,1.9,0.76
0.9,5.71273814405169,5.08690586924112,0.288,1.8,2.1,0.84
1,5.88532463940871,5.13803219925202,0.36,2,2.3,0.92
1.1,6.07250400414429,5.20848704590704,0.44,2.2,2.5,1
1.2,6.27154937005269,5.30219372822155,0.528,2.4,2.7,1.08
1.3,6.47886530867098,5.42310734033705,0.624,2.6,2.9,1.16
1.4,6.68986773958275,5.575021704863,0.728,2.8,3.1,1.24
1.5,6.89888960168842,5.76132753183005,0.84,3,3.3,0.90127738828289
1.6,7.09912844944082,5.9847204678213,0.921934308025717,3.2,3.5,0.135784026000848
1.7,7.29249807684949,6.23968749940741,0.934348847545795,3.4,3.7,0.03992765721093
1.8,7.49457443066759,6.5131196614286,0.938017875505718,3.6,3.9,0.0109435479411116
1.9,7.70747394725997,6.80341915477079,0.93902804916182,3.8,4.1,0.00293577901181275
2,7.93189155543689,7.11007325492298,0.939300145753159,4,4.3,0.000956677051528563
2.1,8.16803277684217,7.43293130972915,0.939389138967255,4.2,4.5,0.000534072410612107
2.2,8.41595088955112,7.77195433164777,0.939438985725579,4.4,4.7,0.000491993806612135
2.3,8.67565692242973,8.1271342529362,0.93948504472024,4.6,4.9,0.000532869763203928
2.4,8.94715067186518,8.49847122122441,0.939535069228623,4.8,5,-0.139606976451894
2.5,9.23042911340934,8.88596744643998,0.926132799489241,5,5,-0.0163882348311033
2.6,9.53089387802708,9.28561845072147,0.924493976006131,5,5,-0.00162026518641325
2.7,9.83201319631712,9.68477650983157,0.92433194948749,5,4.85,-0.020550905684238
2.8,10.133197184845,10.0838857743876,0.92221329941695,4.85,5,0.0193074757628428
2.9,10.4261652031088,10.4704019322317,0.924086124565945,5,5,0.00336104200796009
3,10.7274472935391,10.869437146199,0.924422228766741,5,5,0.00076934772334427
3.1,11.0285952495429,11.268573599802,0.924499163539076,5,5,0.000501281757187612
3.2,11.3297124971833,11.6677332209731,0.924549291714794,5,4.85,-0.00840675403039804
3.3,11.6308097353018,12.066907936101,0.923682616041558,4.85,5,-0.211566755061231
3.4,11.9232095229105,12.4538541393468,0.903160640800618,5,5,-0.0243939588109756
3.5,12.2327750491963,12.84649797915,0.90072124491952,5,5,-0.00250424768252699
3.6,12.5432974672397,13.2383854985896,0.900470820151268,5,5,-0.243090445453058
3.7,12.8539180138864,13.6301952432372,0.876161775605962,5,5,-0.0257097376999632
3.8,13.1739703701177,14.0143390825355,0.873590801835966,5,5,-0.00241678437985872
3.9,13.4950092912383,14.3976588069506,0.87334912339798,5,5,0.000171769786438302
4,13.8161408430946,14.780900931987,0.873366300376624,5,5,0.000484765481804434
4.1,14.1372658119616,15.1641485730367,0.873414776924804,5,5,0.000557980370353177
4.2,14.4583722019287,15.547411780666,0.873470574961839,5,5,0.000566189953671198
4.3,14.7794572060612,15.930692904805,0.873527193957207,5,5,0.000626119909250291
4.4,15.1005205086868,16.31399220784,0.873589805948132,5,5,0.000649724140302423
4.5,15.4215598115507,16.6973116125362,0.873654778362162,5,5,0.000689715030467787
4.6,15.7425742085499,17.0806518751219,0.873723749865209,5,5,-0.209503642074608
4.7,16.0635621652315,17.4640142776412,0.852773385657748,5,5,-0.0234365622189599
4.8,16.3925106752673,17.8405682282847,0.850429729435852,5,5,-0.0022291666074906
4.9,16.7223407940931,18.2163502032587,0.850206812775103,5,5,0.000311481109741633
5,17.0522546727862,18.592058644268,0.850237960886077,5,5,0.000636156466997258
5.1,17.3821568487112,18.9677773612891,0.850301576532777,5,5,0.000684838838204995
5.2,17.7120351223794,19.3435170644902,0.850370060416597,5,5,0.000748208907522103
5.3,18.0418876631599,19.7192793581556,0.850444881307349,5,5,0.00077720472142953
5.4,18.3717120881477,20.09506633063,0.850522601779492,5,5,0.000833257420308963
5.5,18.7015073057983,20.4708789360795,0.850605927521523,5,5,-0.208681518085233
5.6,19.0312712074399,20.8467190206555,0.829737775713,5,5,-0.0244944525150764
5.7,19.3688058276369,21.2155962091187,0.827288330461492,5,5,-0.00243436267719369
5.8,19.7072429788415,21.5836455192451,0.827044894193773,5,4.85,0.327619505288602
5.9,20.0457697165674,21.9516124305899,0.860820100924556,4.85,4.7,0.337898790818805
6,20.3619003511677,22.31942545628,0.895688380402667,4.7,5,-0.656386393483372
6.1,20.6556416973328,22.6863260171313,0.83398805941523,4.9,5,-0.0806358685010641
6.2,20.984886165917,23.0492283179049,0.826085744302126,5,5,-0.00863961303885173
6.3,21.3237656832951,23.4168703621567,0.82522178299824,5,5,-0.000386191467414169
6.4,21.6629627026587,23.7842194904458,0.825183163851499,5,5,0.000811591247408791
6.5,22.0021739084793,24.1515555189616,0.82526432297624,5,5,-0.223221286735722
6.6,22.3413553005123,24.5189190763521,0.802942194302668,5,5,-0.235053217548178
6.7,22.688651848446,24.8786204911301,0.77943687254785,5,5,-0.0283629826043997
6.8,23.0443065790555,25.2300599775215,0.77660057428741,5,5,-0.00316845328959696
6.9,23.4009566649856,25.5804893087797,0.77628372895845,5,5,0.000105300784469662
7,23.7577177649083,25.9308056195361,0.776294259036897,5,5,0.000518269392443152
7.1,24.114475175953,26.2811256869953,0.776346085976142,5,5,0.000606995052556817
